geonameId,cityName,countryName,countryCode,latitudeDegrees,longitudeDegrees,timezoneId,population,featureCode,searchNames
2507972,Aïn Oussera,Algeria,DZ,35.45139,2.90583,Africa/Algiers,98107,PPL,
2507943,Aïn Sefra,Algeria,DZ,32.75,-0.58333,Africa/Algiers,47415,PPL,
2507926,Aïn Smara,Algeria,DZ,36.2674,6.50135,Africa/Algiers,32057,PPL,
2507912,Aïn Taya,Algeria,DZ,36.79333,3.28694,Africa/Algiers,33575,PPL,
2507901,Aïn Temouchent,Algeria,DZ,35.29749,-1.14037,Africa/Algiers,70810,PPLA,Эйн-Темушент
2507877,Aïn Touta,Algeria,DZ,35.37675,5.90001,Africa/Algiers,55736,PPL,
2505854,Bab Ezzouar,Algeria,DZ,36.72615,3.18291,Africa/Algiers,275630,PPL,
6698360,Babor,Algeria,DZ,36.48994,5.5393,Africa/Algiers,18445,PPL,
2505653,Baraki,Algeria,DZ,36.66655,3.09606,Africa/Algiers,105402,PPL,
2505651,Barbacha,Algeria,DZ,36.56667,4.96667,Africa/Algiers,31983,PPL,
2505629,Barika,Algeria,DZ,35.38901,5.36584,Africa/Algiers,98141,PPL,Барика
2505572,Batna,Algeria,DZ,35.55597,6.17414,Africa/Algiers,289504,PPLA,Batna City|Батна
2504486,Ben Mehidi,Algeria,DZ,36.76967,7.90641,Africa/Algiers,28398,PPL,
2504739,Beni Amrane,Algeria,DZ,36.66774,3.59115,Africa/Algiers,18414,PPL,Ait Bélaid
2504703,Beni Douala,Algeria,DZ,36.61954,4.08282,Africa/Algiers,33611,PPL,
2504622,Beni Mered,Algeria,DZ,36.52389,2.86131,Africa/Algiers,92749,PPL,
2504616,Beni Mester,Algeria,DZ,34.87045,-1.42319,Africa/Algiers,19808,PPL,
2504581,Beni Saf,Algeria,DZ,35.30099,-1.38226,Africa/Algiers,39749,PPL,Bani Ṣāf
2504553,Beni Tamou,Algeria,DZ,36.53833,2.82174,Africa/Algiers,33846,PPL,
2504385,Bensekrane,Algeria,DZ,35.07465,-1.22431,Africa/Algiers,21283,PPL,
2504136,Berrahal,Algeria,DZ,36.83528,7.45333,Africa/Algiers,19294,PPL,
2504110,Berriane,Algeria,DZ,32.82648,3.76689,Africa/Algiers,30170,PPL,
2504099,Berrouaghia,Algeria,DZ,36.13516,2.91085,Africa/Algiers,55775,PPL,
2504072,Besbes,Algeria,DZ,36.70222,7.84722,Africa/Algiers,66287,PPL,
2503878,Bir el Ater,Algeria,DZ,34.74488,8.06024,Africa/Algiers,70749,PPL,
2503874,Bir el Djir,Algeria,DZ,35.72,-0.545,Africa/Algiers,68032,PPL,
2503852,Birine,Algeria,DZ,35.635,3.225,Africa/Algiers,26670,PPL,
2503847,Birkhadem,Algeria,DZ,36.71499,3.05002,Africa/Algiers,71722,PPL,
2503826,Biskra,Algeria,DZ,34.85038,5.72805,Africa/Algiers,204661,PPLA,Бискра
2503769,Blida,Algeria,DZ,36.47004,2.8277,Africa/Algiers,331779,PPLA,Блида
2503755,Boghni,Algeria,DZ,36.54222,3.95306,Africa/Algiers,54666,PPL,
2503701,Bordj Bou Arreridj,Algeria,DZ,36.07389,4.76139,Africa/Algiers,158812,PPLA,Бордж-Бу-Арреридж
2503669,Bordj el Bahri,Algeria,DZ,36.79068,3.24952,Africa/Algiers,52816,PPL,
2503661,Bordj el Kiffan,Algeria,DZ,36.74871,3.19249,Africa/Algiers,123246,PPL,
2503654,Bordj Ghdir,Algeria,DZ,35.90111,4.89806,Africa/Algiers,34136,PPL,
2503641,Bordj Menaïel,Algeria,DZ,36.74328,3.7173,Africa/Algiers,44572,PPL,
2503620,Bordj Zemoura,Algeria,DZ,36.27462,4.85668,Africa/Algiers,19782,PPL,
2503033,Bou Hanifia el Hamamat,Algeria,DZ,35.31473,-0.05037,Africa/Algiers,27576,PPL,
2502939,Bou Ismaïl,Algeria,DZ,36.64262,2.69007,Africa/Algiers,40984,PPL,Бу-Исмаил
2502385,Bou Saâda,Algeria,DZ,35.20855,4.17402,Africa/Algiers,111787,PPL,
2502239,Bou Tlelis,Algeria,DZ,35.57272,-0.8996,Africa/Algiers,26144,PPL,
2503237,Boudjima,Algeria,DZ,36.80218,4.15187,Africa/Algiers,20557,PPL,
2503229,Boudouaou,Algeria,DZ,36.72735,3.40995,Africa/Algiers,56398,PPL,
2503181,Boufarik,Algeria,DZ,36.57413,2.91214,Africa/Algiers,57162,PPL,
2503156,Bougaa,Algeria,DZ,36.33293,5.08843,Africa/Algiers,31922,PPL,
2503147,Bougara,Algeria,DZ,36.54178,3.081,Africa/Algiers,38352,PPL,
2502962,Bouinan,Algeria,DZ,36.53167,2.99194,Africa/Algiers,30271,PPL,
2502924,Boukadir,Algeria,DZ,36.06629,1.12602,Africa/Algiers,28652,PPL,Бу-Кадир
2502686,Boumahra Ahmed,Algeria,DZ,36.45833,7.51389,Africa/Algiers,23022,PPL,
2474141,Boumerdas,Algeria,DZ,36.76639,3.47717,Africa/Algiers,28996,PPLA,Бумердес
2502958,Bouïra,Algeria,DZ,36.37489,3.902,Africa/Algiers,68545,PPLA,Буира
2503468,Boû Arfa,Algeria,DZ,36.46298,2.81464,Africa/Algiers,44143,PPL,
2502034,Brezina,Algeria,DZ,33.09892,1.26082,Africa/Algiers,19084,PPL,
2505530,Béchar,Algeria,DZ,31.61667,-2.21667,Africa/Algiers,165241,PPLA,Бешаре|Бешар
2505329,Béjaïa,Algeria,DZ,36.75587,5.08433,Africa/Algiers,176139,PPLA,Bougie|Bijaya|Bugia|Беджая|Bidschāya
2501873,Chabet el Ameur,Algeria,DZ,36.63709,3.69474,Africa/Algiers,19522,PPL,
2501767,Charef,Algeria,DZ,34.62098,2.79503,Africa/Algiers,27700,PPL,
2501680,Chebli,Algeria,DZ,36.57722,3.00917,Africa/Algiers,19901,PPL,
2501541,Chelghoum el Aïd,Algeria,DZ,36.16286,6.16651,Africa/Algiers,54495,PPL,
2501525,Chellalat el Adhaouara,Algeria,DZ,35.93968,3.41588,Africa/Algiers,26077,PPL,
2501508,Chemini,Algeria,DZ,36.6,4.61667,Africa/Algiers,21585,PPL,
2501465,Cheraga,Algeria,DZ,36.76775,2.95924,Africa/Algiers,27835,PPL,
2501440,Cherchell,Algeria,DZ,36.605,2.19083,Africa/Algiers,34372,PPL,Шаршал
2501404,Cheria,Algeria,DZ,35.27306,7.75194,Africa/Algiers,66160,PPL,
2501362,Chetouane,Algeria,DZ,34.92129,-1.29512,Africa/Algiers,36776,PPL,
2501323,Chiffa,Algeria,DZ,36.46293,2.73873,Africa/Algiers,23218,PPL,
2498611,Chlef,Algeria,DZ,36.16525,1.33452,Africa/Algiers,178616,PPLA,Ech Cheliff|Шлеф|asch-Schalif|al-Asnām|ash-Shalif
2501289,Chorfa,Algeria,DZ,36.36505,4.32636,Africa/Algiers,20556,PPL,Чорфа
12640237,Collo,Algeria,DZ,37.00563,6.56049,Africa/Algiers,29354,PPL,
2501152,Constantine,Algeria,DZ,36.365,6.61472,Africa/Algiers,448028,PPLA,Constantina|Константина
2500904,Dar Chioukh,Algeria,DZ,34.89638,3.48543,Africa/Algiers,26605,PPL,
2500889,Dar el Beïda,Algeria,DZ,36.71333,3.2125,Africa/Algiers,37311,PPL,Дар-эль-Бейда
2500737,Debila,Algeria,DZ,33.51667,6.95,Africa/Algiers,36834,PPL,
2500583,Dellys,Algeria,DZ,36.91716,3.91311,Africa/Algiers,26384,PPL,
2500401,Didouche Mourad,Algeria,DZ,36.4525,6.63639,Africa/Algiers,25764,PPL,
2500282,Djamaa,Algeria,DZ,33.53388,5.99306,Africa/Algiers,34920,PPL,
2500017,Djelfa,Algeria,DZ,34.67279,3.263,Africa/Algiers,265833,PPLA,Джелфа
2492920,Djidiouia,Algeria,DZ,35.92989,0.82871,Africa/Algiers,31996,PPL,
2499193,Douéra,Algeria,DZ,36.67,2.94444,Africa/Algiers,46266,PPL,
2499116,Draa Ben Khedda,Algeria,DZ,36.73436,3.96223,Africa/Algiers,29403,PPL,
2499104,Draa el Mizan,Algeria,DZ,36.53628,3.8334,Africa/Algiers,41263,PPL,Дра-эль-Мизан
2499055,Drean,Algeria,DZ,36.68482,7.75111,Africa/Algiers,55147,PPL,
2498954,Ech Chettia,Algeria,DZ,36.19591,1.25537,Africa/Algiers,60170,PPL,
2498782,El Abadia,Algeria,DZ,36.26951,1.68609,Africa/Algiers,27185,PPL,
2498775,El Abiodh Sidi Cheikh,Algeria,DZ,32.893,0.54839,Africa/Algiers,39283,PPL,
2498766,El Achir,Algeria,DZ,36.06386,4.62744,Africa/Algiers,158333,PPL,
2498752,El Affroun,Algeria,DZ,36.4701,2.62528,Africa/Algiers,35074,PPL,
2498704,El Amria,Algeria,DZ,35.52439,-1.01577,Africa/Algiers,26407,PPL,
2498667,El Aouinet,Algeria,DZ,35.86691,7.88673,Africa/Algiers,32971,PPL,
2498614,El Arrouch,Algeria,DZ,36.65306,6.83639,Africa/Algiers,33085,PPL,
2498590,El Attaf,Algeria,DZ,36.22393,1.67187,Africa/Algiers,33349,PPL,Эль-Аттафом
2498543,El Bayadh,Algeria,DZ,33.68318,1.01927,Africa/Algiers,85577,PPLA,Эль-Байад
2498392,El Eulma,Algeria,DZ,36.15281,5.69016,Africa/Algiers,145380,PPL,
2498183,El Hadjar,Algeria,DZ,36.80377,7.73684,Africa/Algiers,26060,PPL,
2498172,El Hadjira,Algeria,DZ,32.61336,5.51259,Africa/Algiers,39744,PPL,
2476412,el hed,Algeria,DZ,36.65,4.77361,Africa/Algiers,31890,PPL,
2498000,El Idrissia,Algeria,DZ,34.44542,2.52749,Africa/Algiers,29856,PPL,
2497988,El Kala,Algeria,DZ,36.89556,8.44333,Africa/Algiers,35449,PPL,La Calle|Port de la Calle|Эль-Калы
2497849,El Khroub,Algeria,DZ,36.26333,6.69361,Africa/Algiers,90122,PPL,
2497796,El Kseur,Algeria,DZ,36.67942,4.8555,Africa/Algiers,26050,PPL,
2497714,El Malah,Algeria,DZ,35.39137,-1.09238,Africa/Algiers,19415,PPL,
2497655,El Meghaïer,Algeria,DZ,33.95139,5.92222,Africa/Algiers,39106,PPLA,El M'Ghair|Эль-Мегайер
2498305,El Menia,Algeria,DZ,30.57556,2.88417,Africa/Algiers,57344,PPLA,El Goléa|Al-Mania|Эль-Голеа
2497509,El Milia,Algeria,DZ,36.75472,6.2725,Africa/Algiers,45945,PPL,
2497411,El Oued,Algeria,DZ,33.35608,6.86319,Africa/Algiers,186525,PPLA,Oued Souf|Эль-Уэд
2497269,En Nedjma,Algeria,DZ,35.64785,-0.5695,Africa/Algiers,51665,PPL,
2497060,Es Senia,Algeria,DZ,35.64779,-0.62397,Africa/Algiers,39064,PPL,As-Sāniyya
2496681,Fedj M’Zala,Algeria,DZ,36.40937,5.94463,Africa/Algiers,26176,PPL,
2496643,Feidh el Botma,Algeria,DZ,34.5,3.76667,Africa/Algiers,26857,PPL,
2496573,Feraoun,Algeria,DZ,36.56041,4.85454,Africa/Algiers,21700,PPL,
2496241,Freha,Algeria,DZ,36.75234,4.3155,Africa/Algiers,31068,PPL,
2496232,Frenda,Algeria,DZ,35.06544,1.04945,Africa/Algiers,49376,PPL,
2496059,Gdyel,Algeria,DZ,35.78111,-0.42581,Africa/Algiers,32774,PPL,
2496049,Ghardaïa,Algeria,DZ,32.49094,3.67347,Africa/Algiers,142913,PPLA,Гардая
2496042,Ghazaouet,Algeria,DZ,35.09579,-1.85772,Africa/Algiers,28433,PPL,Nemours|Nemours-d’Algérie
2495846,Grarem,Algeria,DZ,36.51611,6.32722,Africa/Algiers,28551,PPL,
2495662,Guelma,Algeria,DZ,36.46214,7.42608,Africa/Algiers,120004,PPLA,Гельма
2495601,Guemar,Algeria,DZ,33.48529,6.79693,Africa/Algiers,48413,PPL,
2495524,Guerara,Algeria,DZ,32.79211,4.49949,Africa/Algiers,58572,PPL,
2494962,Hadjout,Algeria,DZ,36.51257,2.41382,Africa/Algiers,33830,PPL,
2494610,Hamma Bouziane,Algeria,DZ,36.41205,6.59603,Africa/Algiers,83603,PPL,
2494554,Hammam Bou Hadjar,Algeria,DZ,35.37889,-0.96778,Africa/Algiers,25912,PPL,
2494548,Hammamet,Algeria,DZ,35.44862,7.95184,Africa/Algiers,28536,PPL,Хаммамет
2494073,Hassi Bahbah,Algeria,DZ,35.07109,3.0299,Africa/Algiers,77000,PPL,
2494029,Hassi Messaoud,Algeria,DZ,31.68041,6.07286,Africa/Algiers,44478,PPL,Хасси-Мессауд
2493918,Hennaya,Algeria,DZ,34.95139,-1.36806,Africa/Algiers,26515,PPL,
2493956,Héliopolis,Algeria,DZ,36.50361,7.44278,Africa/Algiers,40139,PPL,
2493605,Ighram,Algeria,DZ,36.46295,4.50532,Africa/Algiers,15030,PPL,
6930641,In Salah,Algeria,DZ,27.19678,2.47913,Africa/Algiers,32518,PPL,Айн-Салах
2492913,Jijel,Algeria,DZ,36.821,5.76352,Africa/Algiers,131513,PPLA,Jijelli|Джиджель|Yiyel
2492809,Kaïs,Algeria,DZ,35.49474,6.92492,Africa/Algiers,32668,PPL,
2492345,Kerkera,Algeria,DZ,36.92917,6.58556,Africa/Algiers,27177,PPL,
2491913,Khemis el Khechna,Algeria,DZ,36.64997,3.3308,Africa/Algiers,46965,PPL,
2491911,Khemis Miliana,Algeria,DZ,36.26104,2.22015,Africa/Algiers,80512,PPL,Affreville
2491889,Khenchela,Algeria,DZ,35.43583,7.14333,Africa/Algiers,114472,PPLA,Хенчела|Jenchela
2491578,Kolea,Algeria,DZ,36.63888,2.76845,Africa/Algiers,61643,PPL,
2491335,Ksar Chellala,Algeria,DZ,35.21222,2.31889,Africa/Algiers,51451,PPL,
2491323,Ksar el Boukhari,Algeria,DZ,35.88889,2.74905,Africa/Algiers,59634,PPL,
2491191,Laghouat,Algeria,DZ,33.8,2.86514,Africa/Algiers,134372,PPLA,Лагуат|Lagouat
2491134,Lakhdaria,Algeria,DZ,36.56463,3.5933,Africa/Algiers,42886,PPL,
2491050,Larbaâ,Algeria,DZ,36.56471,3.15434,Africa/Algiers,58295,PPL,Ларба
2479203,Lardjem,Algeria,DZ,35.74922,1.54778,Africa/Algiers,30000,PPL,
2491042,L’Arbaa Naït Irathen,Algeria,DZ,36.63112,4.19864,Africa/Algiers,30609,PPL,
2486690,M'Sila,Algeria,DZ,35.70889,4.53722,Africa/Algiers,132975,PPLA,Мсила
2490584,Maghnia,Algeria,DZ,34.84969,-1.72753,Africa/Algiers,87373,PPL,
2490297,Makouda,Algeria,DZ,36.78567,4.06273,Africa/Algiers,34515,PPL,
2490180,Mansourah,Algeria,DZ,36.08725,4.45192,Africa/Algiers,22117,PPL,Мансур
2490183,Mansoûra,Algeria,DZ,34.86158,-1.33935,Africa/Algiers,52285,PPL,Мансура
2490098,Mascara,Algeria,DZ,35.39664,0.14027,Africa/Algiers,108629,PPLA,Muaskar|Маскара
2489987,Mazouna,Algeria,DZ,36.12232,0.89865,Africa/Algiers,22366,PPL,
12640238,Maâtkas,Algeria,DZ,36.60466,3.98437,Africa/Algiers,26142,PPL,
2489865,Mecheria,Algeria,DZ,33.54453,-0.28117,Africa/Algiers,65043,PPL,
2488722,Meftah,Algeria,DZ,36.6204,3.22248,Africa/Algiers,40878,PPL,Мефтах
2488716,Megarine,Algeria,DZ,33.19195,6.08695,Africa/Algiers,31711,PPL,
2488616,Mehdia daira de meghila,Algeria,DZ,35.43058,1.75714,Africa/Algiers,31396,PPL,Махдия
2488500,Mekla,Algeria,DZ,36.68178,4.26378,Africa/Algiers,29560,PPL,
2488202,Melouza,Algeria,DZ,35.97999,4.18665,Africa/Algiers,25701,PPL,
2487882,Merouana,Algeria,DZ,35.63106,5.91186,Africa/Algiers,47646,PPL,
